2371043	 1941.0	 1086.0	  663.0	...
2371044	 1941.0	 1086.0	  663.0	...
2371045	 1941.0	 1086.0	  662.0	...
2371046	 1942.0	 1086.0	  662.0	...
2371047	 1942.0	 1086.0	  662.0	...
2371048	 1943.0	 1086.0	  663.0	...
2371049	 1943.0	 1087.0	  664.0	...
2371050	 1943.0	 1089.0	  666.0	...
2371051	 1944.0	 1090.0	  666.0	...
2371052	 1943.0	 1090.0	  666.0	...
2371053	 1942.0	 1090.0	  666.0	...
2371054	 1941.0	 1089.0	  666.0	...
2371055	 1940.0	 1089.0	  665.0	...
2371056	 1940.0	 1089.0	  665.0	...
2371057	 1940.0	 1089.0	  665.0	...
2371058	 1941.0	 1089.0	  665.0	...
2371059	 1941.0	 1089.0	  666.0	...
2371060	 1941.0	 1089.0	  666.0	...
2371061	 1940.0	 1089.0	  666.0	...
2371062	 1939.0	 1089.0	  666.0	...
MSG	2371063 RECORDING_START 110.798
MSG	2371063 TRIALID A_MB01_T003
MSG	2371063 TRIAL_START mini_block=1 trial_in_block=3 trial_type=image polygon_id=baseline_rect_01
MSG	2371063 !V TRIAL_VAR trial_uid A_MB01_T003
MSG	2371063 !V TRIAL_VAR mini_block 1
MSG	2371063 !V TRIAL_VAR trial_in_block 3
MSG	2371063 !V TRIAL_VAR trial_type image
MSG	2371063 !V TRIAL_VAR polygon_id baseline_rect_01
MSG	2371063 !V TRIAL_VAR polygon_case baseline_rectangle
MSG	2371063 !V TRIAL_VAR cue_pos_id grid_13
MSG	2371063 ERROR MESSAGES LOST 2
MSG	2371063 !V TRIAL_VAR cue_y_px 540.0
MSG	2371063 !V TRIAL_VAR image_id A_Sketch_155
MSG	2371063 !V TRIAL_VAR category Sketch
MSG	2371063 !V IAREA CIRCLE 1 center_screen 1920.0 1080.0 157.0
2371063	 1939.0	 1090.0	  665.0	...
2371064	 1939.0	 1090.0	  665.0	...
2371065	 1939.0	 1089.0	  664.0	...
2371066	 1940.0	 1089.0	  665.0	...
2371067	 1941.0	 1088.0	  666.0	...
2371068	 1941.0	 1087.0	  668.0	...
2371069	 1942.0	 1086.0	  668.0	...
2371070	 1942.0	 1085.0	  667.0	...
2371071	 1942.0	 1085.0	  667.0	...
2371072	 1942.0	 1084.0	  667.0	...
2371073	 1942.0	 1084.0	  667.0	...
2371074	 1941.0	 1085.0	  667.0	...
2371075	 1940.0	 1086.0	  667.0	...
2371076	 1940.0	 1087.0	  667.0	...
2371077	 1940.0	 1087.0	  666.0	...
2371078	 1939.0	 1087.0	  666.0	...
2371079	 1939.0	 1087.0	  666.0	...
2371080	 1940.0	 1087.0	  666.0	...
2371081	 1940.0	 1088.0	  666.0	...
2371082	 1940.0	 1088.0	  666.0	...
2371083	 1940.0	 1088.0	  666.0	...
EFIX R   2370966	2371083	118	 1943.0	 1083.0	    665
MSG	2371084 CUE_ON 110.819 pos=(2880.0,540.0)
MSG	2371084 DRIFT_CORRECT_START 110.819 pos=(2880.0,540.0)
2371084	 1940.0	 1088.0	  666.0	...
INPUT	2371085	127
END	2371085 	SAMPLES	EVENTS	RES	  98.00	 104.00
INPUT	2371184	127
MSG	2372269 DRIFTCORRECT R REPEATING due to large error L=0.000000 R=2.067910 drift_correction_maxerr=2.000000
MSG	2373602 DRIFTCORRECT R RIGHT at 2880,540  OFFSET 3.86 deg.  -70.7,-397.7 pix.
MSG	2373650 DRIFT_CORRECT_END 113.385 result=PASS error=OK duration=2.566
MSG	2373650 DRIFT_CORRECT_OK
MSG	2374683 STIM_ON 114.418
MSG	2378700 STIM_OFF 118.435
